REF_DATE,GEO,UOM,VALUE,Province,Fuel Type
2014-03,"St. John's, Newfoundland and Labrador",Cents per litre,142.0,Newfoundland and Labrador,Premium
2014-04,"St. John's, Newfoundland and Labrador",Cents per litre,142.3,Newfoundland and Labrador,Premium
2014-05,"St. John's, Newfoundland and Labrador",Cents per litre,144.8,Newfoundland and Labrador,Premium
2014-06,"St. John's, Newfoundland and Labrador",Cents per litre,144.2,Newfoundland and Labrador,Premium
2014-07,"St. John's, Newfoundland and Labrador",Cents per litre,142.0,Newfoundland and Labrador,Premium
2014-08,"St. John's, Newfoundland and Labrador",Cents per litre,138.5,Newfoundland and Labrador,Premium
2014-09,"St. John's, Newfoundland and Labrador",Cents per litre,139.6,Newfoundland and Labrador,Premium
2014-10,"St. John's, Newfoundland and Labrador",Cents per litre,135.6,Newfoundland and Labrador,Premium
2014-11,"St. John's, Newfoundland and Labrador",Cents per litre,124.7,Newfoundland and Labrador,Premium
2014-12,"St. John's, Newfoundland and Labrador",Cents per litre,113.0,Newfoundland and Labrador,Premium
2015-01,"St. John's, Newfoundland and Labrador",Cents per litre,102.4,Newfoundland and Labrador,Premium
2015-02,"St. John's, Newfoundland and Labrador",Cents per litre,112.0,Newfoundland and Labrador,Premium
2015-03,"St. John's, Newfoundland and Labrador",Cents per litre,119.1,Newfoundland and Labrador,Premium
2015-04,"St. John's, Newfoundland and Labrador",Cents per litre,116.0,Newfoundland and Labrador,Premium
2015-05,"St. John's, Newfoundland and Labrador",Cents per litre,123.7,Newfoundland and Labrador,Premium
2015-06,"St. John's, Newfoundland and Labrador",Cents per litre,129.6,Newfoundland and Labrador,Premium
2015-07,"St. John's, Newfoundland and Labrador",Cents per litre,128.0,Newfoundland and Labrador,Premium
2015-08,"St. John's, Newfoundland and Labrador",Cents per litre,120.4,Newfoundland and Labrador,Premium
2015-09,"St. John's, Newfoundland and Labrador",Cents per litre,113.1,Newfoundland and Labrador,Premium
2015-10,"St. John's, Newfoundland and Labrador",Cents per litre,109.5,Newfoundland and Labrador,Premium
2015-11,"St. John's, Newfoundland and Labrador",Cents per litre,109.3,Newfoundland and Labrador,Premium
2015-12,"St. John's, Newfoundland and Labrador",Cents per litre,105.1,Newfoundland and Labrador,Premium
2016-01,"St. John's, Newfoundland and Labrador",Cents per litre,99.9,Newfoundland and Labrador,Premium
2016-02,"St. John's, Newfoundland and Labrador",Cents per litre,96.4,Newfoundland and Labrador,Premium
2016-03,"St. John's, Newfoundland and Labrador",Cents per litre,95.6,Newfoundland and Labrador,Premium
2016-04,"St. John's, Newfoundland and Labrador",Cents per litre,107.6,Newfoundland and Labrador,Premium
2016-05,"St. John's, Newfoundland and Labrador",Cents per litre,110.8,Newfoundland and Labrador,Premium
2016-06,"St. John's, Newfoundland and Labrador",Cents per litre,132.4,Newfoundland and Labrador,Premium
2016-07,"St. John's, Newfoundland and Labrador",Cents per litre,128.6,Newfoundland and Labrador,Premium
2016-08,"St. John's, Newfoundland and Labrador",Cents per litre,129.1,Newfoundland and Labrador,Premium
2016-09,"St. John's, Newfoundland and Labrador",Cents per litre,134.1,Newfoundland and Labrador,Premium
2016-10,"St. John's, Newfoundland and Labrador",Cents per litre,136.0,Newfoundland and Labrador,Premium
2016-11,"St. John's, Newfoundland and Labrador",Cents per litre,134.0,Newfoundland and Labrador,Premium
2016-12,"St. John's, Newfoundland and Labrador",Cents per litre,136.1,Newfoundland and Labrador,Premium
2017-01,"St. John's, Newfoundland and Labrador",Cents per litre,142.9,Newfoundland and Labrador,Premium
2017-02,"St. John's, Newfoundland and Labrador",Cents per litre,136.7,Newfoundland and Labrador,Premium
2017-03,"St. John's, Newfoundland and Labrador",Cents per litre,132.7,Newfoundland and Labrador,Premium
2017-04,"St. John's, Newfoundland and Labrador",Cents per litre,139.3,Newfoundland and Labrador,Premium
2017-05,"St. John's, Newfoundland and Labrador",Cents per litre,136.3,Newfoundland and Labrador,Premium
2017-06,"St. John's, Newfoundland and Labrador",Cents per litre,121.2,Newfoundland and Labrador,Premium
2017-07,"St. John's, Newfoundland and Labrador",Cents per litre,118.9,Newfoundland and Labrador,Premium
2017-08,"St. John's, Newfoundland and Labrador",Cents per litre,122.8,Newfoundland and Labrador,Premium
2017-09,"St. John's, Newfoundland and Labrador",Cents per litre,132.2,Newfoundland and Labrador,Premium
2017-10,"St. John's, Newfoundland and Labrador",Cents per litre,126.4,Newfoundland and Labrador,Premium
2017-11,"St. John's, Newfoundland and Labrador",Cents per litre,133.4,Newfoundland and Labrador,Premium
2017-12,"St. John's, Newfoundland and Labrador",Cents per litre,124.8,Newfoundland and Labrador,Premium
2018-01,"St. John's, Newfoundland and Labrador",Cents per litre,127.1,Newfoundland and Labrador,Premium
2018-02,"St. John's, Newfoundland and Labrador",Cents per litre,128.3,Newfoundland and Labrador,Premium
2018-03,"St. John's, Newfoundland and Labrador",Cents per litre,128.4,Newfoundland and Labrador,Premium
2018-04,"St. John's, Newfoundland and Labrador",Cents per litre,137.3,Newfoundland and Labrador,Premium
2018-05,"St. John's, Newfoundland and Labrador",Cents per litre,143.5,Newfoundland and Labrador,Premium
2018-06,"St. John's, Newfoundland and Labrador",Cents per litre,140.7,Newfoundland and Labrador,Premium
2018-07,"St. John's, Newfoundland and Labrador",Cents per litre,141.1,Newfoundland and Labrador,Premium
2018-08,"St. John's, Newfoundland and Labrador",Cents per litre,138.9,Newfoundland and Labrador,Premium
2018-09,"St. John's, Newfoundland and Labrador",Cents per litre,137.8,Newfoundland and Labrador,Premium
2018-10,"St. John's, Newfoundland and Labrador",Cents per litre,137.8,Newfoundland and Labrador,Premium
2018-11,"St. John's, Newfoundland and Labrador",Cents per litre,125.0,Newfoundland and Labrador,Premium
2018-12,"St. John's, Newfoundland and Labrador",Cents per litre,115.7,Newfoundland and Labrador,Premium
2019-01,"St. John's, Newfoundland and Labrador",Cents per litre,113.0,Newfoundland and Labrador,Premium
2019-02,"St. John's, Newfoundland and Labrador",Cents per litre,118.8,Newfoundland and Labrador,Premium
2019-03,"St. John's, Newfoundland and Labrador",Cents per litre,128.7,Newfoundland and Labrador,Premium
2019-04,"St. John's, Newfoundland and Labrador",Cents per litre,137.3,Newfoundland and Labrador,Premium
2019-05,"St. John's, Newfoundland and Labrador",Cents per litre,136.9,Newfoundland and Labrador,Premium
2019-06,"St. John's, Newfoundland and Labrador",Cents per litre,126.0,Newfoundland and Labrador,Premium
2019-07,"St. John's, Newfoundland and Labrador",Cents per litre,134.3,Newfoundland and Labrador,Premium
2019-08,"St. John's, Newfoundland and Labrador",Cents per litre,129.2,Newfoundland and Labrador,Premium
2019-09,"St. John's, Newfoundland and Labrador",Cents per litre,127.3,Newfoundland and Labrador,Premium
2019-10,"St. John's, Newfoundland and Labrador",Cents per litre,127.1,Newfoundland and Labrador,Premium
2019-11,"St. John's, Newfoundland and Labrador",Cents per litre,128.0,Newfoundland and Labrador,Premium
2019-12,"St. John's, Newfoundland and Labrador",Cents per litre,128.1,Newfoundland and Labrador,Premium
2020-01,"St. John's, Newfoundland and Labrador",Cents per litre,129.6,Newfoundland and Labrador,Premium
2020-02,"St. John's, Newfoundland and Labrador",Cents per litre,126.1,Newfoundland and Labrador,Premium
2020-03,"St. John's, Newfoundland and Labrador",Cents per litre,107.5,Newfoundland and Labrador,Premium
2020-04,"St. John's, Newfoundland and Labrador",Cents per litre,87.2,Newfoundland and Labrador,Premium
2020-05,"St. John's, Newfoundland and Labrador",Cents per litre,97.3,Newfoundland and Labrador,Premium
2020-06,"St. John's, Newfoundland and Labrador",Cents per litre,108.7,Newfoundland and Labrador,Premium
2020-07,"St. John's, Newfoundland and Labrador",Cents per litre,113.0,Newfoundland and Labrador,Premium
2020-08,"St. John's, Newfoundland and Labrador",Cents per litre,112.5,Newfoundland and Labrador,Premium
2020-09,"St. John's, Newfoundland and Labrador",Cents per litre,112.4,Newfoundland and Labrador,Premium
2020-10,"St. John's, Newfoundland and Labrador",Cents per litre,116.0,Newfoundland and Labrador,Premium
2020-11,"St. John's, Newfoundland and Labrador",Cents per litre,117.9,Newfoundland and Labrador,Premium
2020-12,"St. John's, Newfoundland and Labrador",Cents per litre,122.7,Newfoundland and Labrador,Premium
2021-01,"St. John's, Newfoundland and Labrador",Cents per litre,130.6,Newfoundland and Labrador,Premium
2021-02,"St. John's, Newfoundland and Labrador",Cents per litre,136.6,Newfoundland and Labrador,Premium
2021-03,"St. John's, Newfoundland and Labrador",Cents per litre,147.4,Newfoundland and Labrador,Premium
2021-04,"St. John's, Newfoundland and Labrador",Cents per litre,147.0,Newfoundland and Labrador,Premium
2021-05,"St. John's, Newfoundland and Labrador",Cents per litre,149.4,Newfoundland and Labrador,Premium
2021-06,"St. John's, Newfoundland and Labrador",Cents per litre,150.8,Newfoundland and Labrador,Premium
2021-07,"St. John's, Newfoundland and Labrador",Cents per litre,159.2,Newfoundland and Labrador,Premium
2021-08,"St. John's, Newfoundland and Labrador",Cents per litre,157.7,Newfoundland and Labrador,Premium
2021-09,"St. John's, Newfoundland and Labrador",Cents per litre,159.6,Newfoundland and Labrador,Premium
2021-10,"St. John's, Newfoundland and Labrador",Cents per litre,165.9,Newfoundland and Labrador,Premium
2021-11,"St. John's, Newfoundland and Labrador",Cents per litre,164.9,Newfoundland and Labrador,Premium
2021-12,"St. John's, Newfoundland and Labrador",Cents per litre,157.4,Newfoundland and Labrador,Premium
2022-01,"St. John's, Newfoundland and Labrador",Cents per litre,165.0,Newfoundland and Labrador,Premium
2022-02,"St. John's, Newfoundland and Labrador",Cents per litre,176.7,Newfoundland and Labrador,Premium
2022-03,"St. John's, Newfoundland and Labrador",Cents per litre,193.5,Newfoundland and Labrador,Premium
2022-04,"St. John's, Newfoundland and Labrador",Cents per litre,195.7,Newfoundland and Labrador,Premium
2022-05,"St. John's, Newfoundland and Labrador",Cents per litre,221.3,Newfoundland and Labrador,Premium
2022-06,"St. John's, Newfoundland and Labrador",Cents per litre,225.6,Newfoundland and Labrador,Premium
2022-07,"St. John's, Newfoundland and Labrador",Cents per litre,206.2,Newfoundland and Labrador,Premium
2022-08,"St. John's, Newfoundland and Labrador",Cents per litre,190.2,Newfoundland and Labrador,Premium
2022-09,"St. John's, Newfoundland and Labrador",Cents per litre,172.6,Newfoundland and Labrador,Premium
2022-10,"St. John's, Newfoundland and Labrador",Cents per litre,185.9,Newfoundland and Labrador,Premium
2022-11,"St. John's, Newfoundland and Labrador",Cents per litre,187.0,Newfoundland and Labrador,Premium
2022-12,"St. John's, Newfoundland and Labrador",Cents per litre,163.6,Newfoundland and Labrador,Premium
2023-01,"St. John's, Newfoundland and Labrador",Cents per litre,171.4,Newfoundland and Labrador,Premium
2023-02,"St. John's, Newfoundland and Labrador",Cents per litre,171.8,Newfoundland and Labrador,Premium
2023-03,"St. John's, Newfoundland and Labrador",Cents per litre,171.0,Newfoundland and Labrador,Premium
2023-04,"St. John's, Newfoundland and Labrador",Cents per litre,180.0,Newfoundland and Labrador,Premium
2023-05,"St. John's, Newfoundland and Labrador",Cents per litre,171.4,Newfoundland and Labrador,Premium
2023-06,"St. John's, Newfoundland and Labrador",Cents per litre,174.2,Newfoundland and Labrador,Premium
2023-07,"St. John's, Newfoundland and Labrador",Cents per litre,180.6,Newfoundland and Labrador,Premium
2023-08,"St. John's, Newfoundland and Labrador",Cents per litre,193.8,Newfoundland and Labrador,Premium
2023-09,"St. John's, Newfoundland and Labrador",Cents per litre,195.8,Newfoundland and Labrador,Premium
2023-10,"St. John's, Newfoundland and Labrador",Cents per litre,180.0,Newfoundland and Labrador,Premium
2023-11,"St. John's, Newfoundland and Labrador",Cents per litre,174.2,Newfoundland and Labrador,Premium
2023-12,"St. John's, Newfoundland and Labrador",Cents per litre,168.8,Newfoundland and Labrador,Premium
2024-01,"St. John's, Newfoundland and Labrador",Cents per litre,167.0,Newfoundland and Labrador,Premium
2024-02,"St. John's, Newfoundland and Labrador",Cents per litre,174.2,Newfoundland and Labrador,Premium
2024-03,"St. John's, Newfoundland and Labrador",Cents per litre,179.4,Newfoundland and Labrador,Premium
2024-04,"St. John's, Newfoundland and Labrador",Cents per litre,194.2,Newfoundland and Labrador,Premium
2024-05,"St. John's, Newfoundland and Labrador",Cents per litre,190.9,Newfoundland and Labrador,Premium
2024-06,"St. John's, Newfoundland and Labrador",Cents per litre,183.0,Newfoundland and Labrador,Premium
2024-07,"St. John's, Newfoundland and Labrador",Cents per litre,186.7,Newfoundland and Labrador,Premium
2014-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,145.6,Prince Edward Island,Premium
2014-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,146.1,Prince Edward Island,Premium
2014-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,147.4,Prince Edward Island,Premium
2014-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,146.6,Prince Edward Island,Premium
2014-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,144.4,Prince Edward Island,Premium
2014-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,141.9,Prince Edward Island,Premium
2014-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,140.9,Prince Edward Island,Premium
2014-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,137.7,Prince Edward Island,Premium
2014-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,126.0,Prince Edward Island,Premium
2014-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,112.8,Prince Edward Island,Premium
2015-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,99.2,Prince Edward Island,Premium
2015-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,108.2,Prince Edward Island,Premium
2015-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,115.2,Prince Edward Island,Premium
2015-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,113.3,Prince Edward Island,Premium
2015-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,121.0,Prince Edward Island,Premium
2015-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,126.5,Prince Edward Island,Premium
2015-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,127.0,Prince Edward Island,Premium
2015-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,121.7,Prince Edward Island,Premium
2015-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,111.4,Prince Edward Island,Premium
2015-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,108.1,Prince Edward Island,Premium
2015-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,105.9,Prince Edward Island,Premium
2015-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,105.2,Prince Edward Island,Premium
2016-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,100.2,Prince Edward Island,Premium
2016-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,94.4,Prince Edward Island,Premium
2016-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,95.9,Prince Edward Island,Premium
2016-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,107.6,Prince Edward Island,Premium
2016-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,111.0,Prince Edward Island,Premium
2016-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,112.8,Prince Edward Island,Premium
2016-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,106.0,Prince Edward Island,Premium
2016-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,104.2,Prince Edward Island,Premium
2016-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,108.2,Prince Edward Island,Premium
2016-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,113.5,Prince Edward Island,Premium
2016-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,111.2,Prince Edward Island,Premium
2016-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,113.2,Prince Edward Island,Premium
2017-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,120.8,Prince Edward Island,Premium
2017-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,113.6,Prince Edward Island,Premium
2017-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,112.5,Prince Edward Island,Premium
2017-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,118.2,Prince Edward Island,Premium
2017-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,114.8,Prince Edward Island,Premium
2017-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,113.7,Prince Edward Island,Premium
2017-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,110.3,Prince Edward Island,Premium
2017-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,114.9,Prince Edward Island,Premium
2017-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,122.8,Prince Edward Island,Premium
2017-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,115.9,Prince Edward Island,Premium
2017-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,123.6,Prince Edward Island,Premium
2017-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,119.5,Prince Edward Island,Premium
2018-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,123.3,Prince Edward Island,Premium
2018-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,123.4,Prince Edward Island,Premium
2018-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,124.8,Prince Edward Island,Premium
2018-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,131.4,Prince Edward Island,Premium
2018-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,139.3,Prince Edward Island,Premium
2018-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,138.1,Prince Edward Island,Premium
2018-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,136.8,Prince Edward Island,Premium
2018-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,134.9,Prince Edward Island,Premium
2018-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,134.4,Prince Edward Island,Premium
2018-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,132.5,Prince Edward Island,Premium
2018-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,119.5,Prince Edward Island,Premium
2018-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,111.4,Prince Edward Island,Premium
2019-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,106.0,Prince Edward Island,Premium
2019-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,107.7,Prince Edward Island,Premium
2019-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,119.4,Prince Edward Island,Premium
2019-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,133.7,Prince Edward Island,Premium
2019-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,136.6,Prince Edward Island,Premium
2019-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,124.1,Prince Edward Island,Premium
2019-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,131.0,Prince Edward Island,Premium
2019-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,124.6,Prince Edward Island,Premium
2019-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,123.3,Prince Edward Island,Premium
2019-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,122.4,Prince Edward Island,Premium
2019-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,122.5,Prince Edward Island,Premium
2019-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,121.6,Prince Edward Island,Premium
2020-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,121.6,Prince Edward Island,Premium
2020-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,118.9,Prince Edward Island,Premium
2020-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,98.2,Prince Edward Island,Premium
2020-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,81.5,Prince Edward Island,Premium
2020-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,90.6,Prince Edward Island,Premium
2020-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,102.7,Prince Edward Island,Premium
2020-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,107.6,Prince Edward Island,Premium
2020-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,107.4,Prince Edward Island,Premium
2020-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,106.7,Prince Edward Island,Premium
2020-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,107.5,Prince Edward Island,Premium
2020-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,103.7,Prince Edward Island,Premium
2020-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,109.4,Prince Edward Island,Premium
2021-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,117.0,Prince Edward Island,Premium
2021-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,123.7,Prince Edward Island,Premium
2021-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,133.9,Prince Edward Island,Premium
2021-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,134.7,Prince Edward Island,Premium
2021-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,138.0,Prince Edward Island,Premium
2021-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,139.4,Prince Edward Island,Premium
2021-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,145.7,Prince Edward Island,Premium
2021-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,145.2,Prince Edward Island,Premium
2021-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,145.8,Prince Edward Island,Premium
2021-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,152.2,Prince Edward Island,Premium
2021-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,151.8,Prince Edward Island,Premium
2021-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,142.9,Prince Edward Island,Premium
2022-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,151.8,Prince Edward Island,Premium
2022-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,163.2,Prince Edward Island,Premium
2022-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,180.7,Prince Edward Island,Premium
2022-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,179.3,Prince Edward Island,Premium
2022-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,212.9,Prince Edward Island,Premium
2022-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,222.5,Prince Edward Island,Premium
2022-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,203.8,Prince Edward Island,Premium
2022-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,188.4,Prince Edward Island,Premium
2022-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,172.1,Prince Edward Island,Premium
2022-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,185.5,Prince Edward Island,Premium
2022-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,185.4,Prince Edward Island,Premium
2022-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,159.5,Prince Edward Island,Premium
2023-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,170.1,Prince Edward Island,Premium
2023-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,171.0,Prince Edward Island,Premium
2023-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,169.1,Prince Edward Island,Premium
2023-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,176.7,Prince Edward Island,Premium
2023-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,169.7,Prince Edward Island,Premium
2023-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,172.1,Prince Edward Island,Premium
2023-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,182.4,Prince Edward Island,Premium
2023-08,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,194.0,Prince Edward Island,Premium
2023-09,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,193.6,Prince Edward Island,Premium
2023-10,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,174.4,Prince Edward Island,Premium
2023-11,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,170.1,Prince Edward Island,Premium
2023-12,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,166.7,Prince Edward Island,Premium
2024-01,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,167.7,Prince Edward Island,Premium
2024-02,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,172.0,Prince Edward Island,Premium
2024-03,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,175.5,Prince Edward Island,Premium
2024-04,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,186.4,Prince Edward Island,Premium
2024-05,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,191.2,Prince Edward Island,Premium
2024-06,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,185.0,Prince Edward Island,Premium
2024-07,"Charlottetown and Summerside, Prince Edward Island",Cents per litre,189.4,Prince Edward Island,Premium
2014-03,"Halifax, Nova Scotia",Cents per litre,147.1,Nova Scotia,Premium
2014-04,"Halifax, Nova Scotia",Cents per litre,144.6,Nova Scotia,Premium
2014-05,"Halifax, Nova Scotia",Cents per litre,147.8,Nova Scotia,Premium
2014-06,"Halifax, Nova Scotia",Cents per litre,146.9,Nova Scotia,Premium
2014-07,"Halifax, Nova Scotia",Cents per litre,145.5,Nova Scotia,Premium
2014-08,"Halifax, Nova Scotia",Cents per litre,141.1,Nova Scotia,Premium
2014-09,"Halifax, Nova Scotia",Cents per litre,142.2,Nova Scotia,Premium
2014-10,"Halifax, Nova Scotia",Cents per litre,138.8,Nova Scotia,Premium
2014-11,"Halifax, Nova Scotia",Cents per litre,126.5,Nova Scotia,Premium
2014-12,"Halifax, Nova Scotia",Cents per litre,114.4,Nova Scotia,Premium
2015-01,"Halifax, Nova Scotia",Cents per litre,100.4,Nova Scotia,Premium
2015-02,"Halifax, Nova Scotia",Cents per litre,108.4,Nova Scotia,Premium
2015-03,"Halifax, Nova Scotia",Cents per litre,117.0,Nova Scotia,Premium
2015-04,"Halifax, Nova Scotia",Cents per litre,117.1,Nova Scotia,Premium
2015-05,"Halifax, Nova Scotia",Cents per litre,124.1,Nova Scotia,Premium
2015-06,"Halifax, Nova Scotia",Cents per litre,128.1,Nova Scotia,Premium
2015-07,"Halifax, Nova Scotia",Cents per litre,126.5,Nova Scotia,Premium
2015-08,"Halifax, Nova Scotia",Cents per litre,119.2,Nova Scotia,Premium
2015-09,"Halifax, Nova Scotia",Cents per litre,110.4,Nova Scotia,Premium
2015-10,"Halifax, Nova Scotia",Cents per litre,106.9,Nova Scotia,Premium
2015-11,"Halifax, Nova Scotia",Cents per litre,107.0,Nova Scotia,Premium
2015-12,"Halifax, Nova Scotia",Cents per litre,105.5,Nova Scotia,Premium
2016-01,"Halifax, Nova Scotia",Cents per litre,101.7,Nova Scotia,Premium
2016-02,"Halifax, Nova Scotia",Cents per litre,94.7,Nova Scotia,Premium
2016-03,"Halifax, Nova Scotia",Cents per litre,95.7,Nova Scotia,Premium
2016-04,"Halifax, Nova Scotia",Cents per litre,108.9,Nova Scotia,Premium
2016-05,"Halifax, Nova Scotia",Cents per litre,111.1,Nova Scotia,Premium
2016-06,"Halifax, Nova Scotia",Cents per litre,113.9,Nova Scotia,Premium
2016-07,"Halifax, Nova Scotia",Cents per litre,105.6,Nova Scotia,Premium
2016-08,"Halifax, Nova Scotia",Cents per litre,103.9,Nova Scotia,Premium
2016-09,"Halifax, Nova Scotia",Cents per litre,110.1,Nova Scotia,Premium
2016-10,"Halifax, Nova Scotia",Cents per litre,113.3,Nova Scotia,Premium
